"phi, theta, psi, x, y, y_pred, h, h_err, h_err_pred, y_err_NN, h_err_NN"
0.0,0.0,7.629394502828291e-07,12464.0,-0.0,-8.687471389770508,1029.429443359375,0.02111762445065324,-53.72709655761719,8.687471389770508,53.74821418206784
0.009797759354114532,-2.182762384414673,0.19619827270507528,12456.780634699184,-0.08376081465521867,-6.405817985534668,1029.390625,-0.31841491942304856,-47.28566360473633,6.322057170879449,46.96724868531328
0.018248282372951508,-6.091304302215576,0.5554283142089815,12450.840936988088,-0.15312692636725522,0.7036361694335938,1029.3211669921875,-0.5602432782616233,-47.10809326171875,-0.856763095800849,46.54784998345713
0.051474280655384064,-11.432870864868164,0.8656318664550753,12444.24732966998,-0.22920482792553187,-2.055283546447754,1029.0804443359375,-0.6650769390180358,-42.295040130615234,1.826078718522222,41.6299631915972
0.07990759611129761,-13.230982780456543,0.9690330505371065,12437.76771041102,-0.30054253513386975,-7.834761619567871,1028.533447265625,-0.45766232466735346,-55.83134460449219,7.534219084434001,55.373682279824834
0.07731950283050537,-12.092611312866211,1.0542076110839815,12432.022386069117,-0.36035313520491385,-6.170816421508789,1027.8131103515625,-0.03842510062486326,-47.628448486328125,5.810463286303875,47.59002338570326
0.07140098512172699,-10.292988777160645,1.1870735168457003,12425.977810547853,-0.4217651910504614,-5.046371936798096,1026.921630859375,0.5362716117845139,-55.0858154296875,4.624606745747634,55.622087041472014
0.09676989167928696,-9.81118106842041,1.2924812316894503,12419.896458714935,-0.48082456171037435,0.2780936658382416,1025.982177734375,1.1570145921823496,-47.49938201904297,-0.7589182275486159,48.65639661122532
0.15578196942806244,-11.136210441589355,1.248783874511716,12413.970426377307,-0.5311492980977697,-0.6491404175758362,1025.04931640625,1.7793057255330496,-43.426029205322266,0.11799111947806651,45.205334930855315
0.22253575921058655,-11.883330345153809,1.012669372558591,12407.667035112521,-0.5847172449966145,-1.895522117614746,1023.9850463867188,2.5132290069245755,-45.9794921875,1.3108048726181316,48.492721194424576
0.2599502503871918,-11.420689582824707,0.7107742309570284,12401.686977088533,-0.6299261723284992,-3.8910107612609863,1022.9005126953125,3.284361137310043,-54.95806121826172,3.261084588932487,58.24242235557176
0.2534351646900177,-12.026466369628906,0.39977340698241903,12395.027135395474,-0.677702203701827,-7.565085411071777,1021.6643676757812,4.171478643331284,-48.55176544189453,6.88738320736995,52.723244085225815
0.20367223024368286,-13.059826850891113,0.24774246215820028,12388.859536689028,-0.7229459550123849,-4.293599605560303,1020.4768676757812,5.035748491617596,-47.33132553100586,3.570653650547918,52.367074022623456
0.1441369354724884,-12.853242874145508,0.24607162475585653,12382.888103352392,-0.7695364442792112,-8.60390853881836,1019.2577514648438,5.941915142245307,-48.47734451293945,7.834372094539148,54.41925965518476
0.07044889032840729,-12.026843070983887,0.39537887573241903,12376.74320514545,-0.8166473191500572,-6.836972236633301,1017.9620971679688,6.915528970173909,-42.01020431518555,6.020324917483244,48.925733285359456
0.017868250608444214,-11.164416313171387,0.6373718261718722,12371.31169335668,-0.8612662129205759,-0.6636924743652344,1016.8124389648438,7.78053370230009,-38.7166862487793,-0.19757373855534155,46.49721995107939
0.014777595177292824,-10.200228691101074,0.8882720947265597,12365.3043797087,-0.9109551418003932,-1.8347070217132568,1015.5623168945312,8.715825804865062,-42.62201690673828,0.9237518799128637,51.337842711603344
0.05119258537888527,-10.271126747131348,1.0556304931640597,12358.695390139446,-0.9615694199847056,-2.9717116355895996,1014.244384765625,9.687395467141982,-43.85372543334961,2.010142215604894,53.54112090049159
0.09122370928525925,-11.785961151123047,1.1063125610351534,12352.015125509128,-1.0043047652436385,-3.4923746585845947,1012.9548950195312,10.626787378937706,-46.61284255981445,2.488069893340956,57.23962993875216
0.11739775538444519,-13.101872444152832,1.0755317687988253,12346.9037733986,-1.038287077202682,-8.309816360473633,1011.9527587890625,11.36104899615998,-46.36370849609375,7.271529283270951,57.72475749225373
0.12145241349935532,-13.538880348205566,1.0435340881347628,12340.87969593754,-1.071137070061262,-15.249614715576172,1010.7108154296875,12.287283833571792,-64.01097869873047,14.17847764551491,76.29826253230226
0.07242434471845627,-14.288091659545898,1.1567962646484347,12334.470530862276,-1.1112998362949895,-19.4544734954834,1009.337646484375,13.32456267023133,-71.9005355834961,18.34317365918841,85.22509825372742
-0.022911466658115387,-16.138553619384766,1.4702728271484347,12328.670770395327,-1.146467690360538,-49.145721435546875,1008.0482788085938,14.309977779566225,-54.9963264465332,47.99925374518634,69.30630422609943
-0.35578322410583496,-16.808603286743164,2.4262969970703097,12322.242078383113,-1.1870408952784999,-15.909814834594727,1006.500732421875,15.520610694230186,-60.53801345825195,14.722773939316227,76.05862415248214
-0.5633565187454224,-15.930730819702148,3.6506965637207003,12315.707126998797,-1.2282847316827201,-37.7703742980957,1004.8165893554688,16.862271470861856,-59.97235107421875,36.54208956641298,76.8346225450806
-0.6128434538841248,-15.33112907409668,4.8291709899902315,12309.021896805305,-1.2578402650998584,-32.505531311035156,1003.0515747070312,18.276928050862466,-59.48748779296875,31.247691045935298,77.76441584383122
-0.5675959587097168,-15.618332862854004,5.758671569824216,12303.394294769667,-1.2675096718127747,-19.14596939086914,1001.5626831054688,19.47088952704837,-52.34449768066406,17.878459719056366,71.81538720771243
-0.3924606740474701,-15.750319480895996,6.31408767700195,12297.618691487098,-1.262317212984513,-50.91627502441406,1000.01806640625,20.71281968420783,-59.09601974487305,49.65395781142955,79.80883942908088
